Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,9730,618.38,51,240,1.105990783410138,2.85,179,0.8764150943396226,3.0057342657342656,3.229772727272727
1,9748,532.96,21,302,1.0942028985507246,1.93,142,1.0071724137931033,2.6165546218487394,1.988157894736842
1,9751,694.1800000000001,21,303,1.5226130653266332,3.49,90,1.3339285714285716,1.6070967741935485,4.033877551020408
1,9807,646.26,43,378,1.2038216560509554,2.06,202,0.9145502645502646,1.206071428571429,3.5438095238095246
1,10015,748.73,50,263,1.0562248995983936,3.01,200,0.9995238095238096,2.399180327868853,3.880647482014389
1,10072,425.52,21,163,1.2164179104477613,3.18,66,0.9222950819672132,1.8766666666666667,5.581666666666667
1,10114,485.51,40,305,1.1466165413533835,1.83,164,1.2637404580152674,1.661896551724138,2.192758620689655
1,10278,849.04,29,358,1.1548387096774193,2.74,179,1.4361783439490448,3.046666666666667,3.224126984126984
1,10346,617.89,54,343,1.1245901639344262,2.03,245,0.8271681415929203,0.7508870967741935,4.068962264150944
1,10438,518.35,57,293,1.4948979591836735,2.64,139,0.5527272727272727,0.7155371900826446,3.4305128205128206
1,10519,614.57,47,453,1.091566265060241,1.48,243,1.1343801652892562,1.2187341772151896,2.7828301886792453
1,10538,485.2,48,307,1.132841328413284,1.79,214,0.7483516483516482,1.44609022556391,2.7080722891566267
1,10660,378.17,56,269,1.1069958847736625,1.56,181,0.7103092783505155,0.9411111111111112,2.96027397260274
1,10669,679.59,38,387,1.2564935064935063,2.21,141,1.2207185628742516,1.5383720930232558,4.398541666666667
1,10744,900.59,72,293,1.1269230769230767,3.46,207,1.1452941176470588,2.340879120879121,4.549925373134329
1,10767,538.06,27,275,1.2910798122065728,2.53,117,0.978358208955224,1.1747727272727273,3.076083333333334
1,10904,695.6,17,439,1.1769436997319036,1.86,118,1.1341992882562275,2.452301587301588,2.121875
1,11002,413.34,49,296,1.108614232209738,1.55,190,0.7878823529411765,1.7530232558139534,3.216
1,11057,608.72,20,267,1.5084745762711864,3.44,79,1.2067114093959732,3.7564,3.6022580645161297
1,11059,452.75,50,352,1.5238095238095235,1.96,181,0.88,1.089655172413793,2.4492187500000004
1,11180,579.9,29,389,1.204334365325077,1.8,179,1.1589080459770116,1.6352,1.9316666666666669
1,11350,539.15,34,305,1.1090909090909091,1.96,116,1.1960843373493977,2.177,2.8210169491525425
1,11508,722.5,54,145,1.2393162393162391,6.18,102,1.29,1.197941176470588,6.323457943925233
1,11615,470.13,32,338,1.2472324723247232,1.73,172,0.9129921259842518,1.1672033898305083,2.32741935483871
1,11753,406.99,28,102,1.0736842105263158,4.28,69,1.1315384615384616,1.5548000000000002,21.93230769230769
1,11784,826.0699999999999,82,115,1.0454545454545456,7.51,109,2.646666666666667,8.302637362637363,2.9804761904761907
1,11791,725.16,58,337,1.1620689655172414,2.5,242,0.5669642857142858,0.602608695652174,3.074669811320755
1,11830,330.21,65,156,1.3565217391304347,2.87,103,0.9796363636363636,0.8529787234042554,4.374814814814815
1,11835,567.73,38,168,1.2923076923076924,4.37,102,0.7054054054054054,1.2946666666666666,4.978118811881188
1,11845,762.5,68,122,1.161904761904762,7.26,103,0.8375,3.914210526315789,8.384861111111112
1,11878,347.77,37,129,1.34375,3.62,83,0.7945,0.9573333333333334,3.83746835443038
1,11886,448.15,38,171,1.049079754601227,2.75,114,0.8352459016393442,1.5366666666666668,4.189767441860465
1,11896,1028.34,57,240,1.3953488372093024,5.98,136,0.8032142857142858,1.0978048780487806,5.618947368421052
1,11936,352.19,55,161,1.080536912751678,2.36,132,0.8952941176470589,1.4369565217391302,3.837931034482759
1,11957,456.35,37,254,1.727891156462585,3.1,102,0.8657,2.4742957746478877,1.5358333333333334
1,11971,383.6,33,236,1.145631067961165,1.86,124,1.158777777777778,1.849065420560748,2.0887179487179486
1,11974,447.25,35,137,1.556818181818182,5.08,68,1.0171428571428571,1.121578947368421,3.958653846153846
1,11981,691.9499999999999,56,309,1.3612334801762116,3.05,113,0.9534920634920636,2.59109243697479,1.9
1,11990,496.33,42,244,1.094170403587444,2.23,168,0.9663513513513512,1.5082857142857142,4.099230769230769
1,12019,514.3100000000001,35,331,1.445414847161572,2.25,148,1.3079347826086956,1.2823737373737374,3.416341463414634
1,12091,263.8,44,186,1.2236842105263157,1.74,127,0.7806666666666667,1.4074666666666666,4.18952380952381
1,12103,744.38,33,397,1.1246458923512748,2.11,171,1.3660344827586206,1.9081818181818184,3.307586206896552
1,12149,403.68,32,236,1.1132075471698113,1.9,142,1.078888888888889,1.960973451327434,3.1366666666666663
1,12158,422.06,50,144,1.1428571428571428,3.35,108,1.1823809523809523,2.702795698924731,4.862333333333334
1,12195,650.72,35,179,1.2785714285714287,4.65,89,1.243898305084746,1.236101694915254,8.268852459016394
1,12202,422.38,31,186,1.1772151898734176,2.67,108,0.8043750000000001,1.2553571428571428,5.7546
1,12286,414.43,60,171,1.089171974522293,2.64,135,0.5710714285714287,3.4025555555555544,1.7398113207547172
